"cbo_2002","grupo_cargo","n","TITULO"
841505,"Outros",83,"Trabalhador de tratamento do leite e fabricação de laticínios e afins"
848305,"Outros",1,"Padeiro"
848310,"Outros",8,"Confeiteiro"
848505,"Outros",4,"Abatedor"
848510,"Outros",5,"Açougueiro"
910105,"Operational",27,"Encarregado de manutenção mecânica de sistemas operacionais"
910905,"Outros",8,"Supervisor de reparos linhas férreas"
911305,"Outros",6,"Mecânico de manutenção de máquinas, em geral"
914405,"Outros",3,"Mecânico de manutenção de automóveis, motocicletas e veículos similares"
951105,"Support",42,"Eletricista de manutenção eletroeletrônica"
951305,"Outros",1,"Instalador de sistemas eletroeletrônicos de segurança"
951310,"Outros",1,"Mantenedor de sistemas eletroeletrônicos de segurança"
951320,"Support",1,"Monitor de sistemas eletrônicos de segurança externo"
953110,"Outros",2,"Eletricista de instalações (embarcações)"
992205,"Outros",13,"Encarregado geral de operações de conservação de vias permanentes (exceto trilhos)"
992210,"Outros",6,"Encarregado de equipe de conservação de vias permanentes (exceto trilhos)"
992225,"Outros",31,"Auxiliar geral de conservação de vias permanentes (exceto trilhos)"
