cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_inicio_atividade,cnae_fiscal_principal,ativa_em_2010,ativa_em_2011,ativa_em_2012,ativa_em_2013,ativa_em_2014,ativa_em_2015,ativa_em_2016,ativa_em_2017,ativa_em_2018,ativa_em_2019,ativa_em_2020,ativa_em_2021,ativa_em_2022
5888589,2,2,2022-02-02,2022-02-02,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5979692,2,2,2021-11-25,2021-11-25,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5983995,2,2,2021-03-31,2021-03-31,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5983995,2,2,2021-10-29,2021-10-29,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
6031727,2,2,2020-03-23,2020-03-23,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
6139650,2,2,2020-03-09,2020-03-09,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
6139650,2,2,2021-11-12,2021-11-12,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
6174009,2,2,2020-01-13,2020-01-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
7026923,2,2,2021-04-30,2021-04-30,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
7122321,2,2,2019-11-18,2019-11-18,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
7122321,2,2,2019-12-09,2019-12-09,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
7194313,2,8,2021-11-06,2019-11-19,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
7252614,2,2,2020-05-25,2020-05-25,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
7252614,2,2,2021-05-20,2021-05-20,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
7320890,2,2,2021-10-13,2021-10-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
7465539,2,2,2021-12-29,2021-12-29,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
7509426,2,2,2020-10-01,2020-10-01,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
7512780,2,2,2021-10-28,2021-10-28,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
7599206,2,2,2020-11-09,2020-11-09,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
7925729,2,2,2020-06-04,2020-06-04,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
7925729,2,2,2021-04-28,2021-04-28,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
8075352,2,2,2019-10-03,2019-10-03,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
8624548,2,2,2021-03-04,2021-03-04,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
8624548,2,2,2021-03-04,2021-03-04,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
8624548,2,2,2021-03-30,2021-03-30,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
8647473,2,2,2022-02-02,2022-02-02,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8742188,2,2,2018-05-17,2018-05-17,6424703,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
8742188,2,2,2021-12-16,2021-12-16,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
8795285,2,2,2019-11-25,2019-11-25,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
9403026,2,2,2021-07-02,2021-07-02,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
9403026,2,2,2022-02-09,2022-02-09,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
9424988,2,2,2022-02-23,2022-02-23,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
